Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,TRUE,Yes,Yes,Yes,I don't know,Yes,Very easy,Yes,TRUE,8,8,2,28,M,United States of America
2019,TRUE,I don't know,No,Yes,I don't know,I don't know,I don't know,No,FALSE,5,4,1,29,F,United States of America
2019,TRUE,Yes,No,No,I don't know,I don't know,I don't know,Maybe,FALSE,5,5,3,38,F,United States of America
2019,TRUE,I don't know,No,No,I don't know,I don't know,Very easy,No,FALSE,6,5,2,30,M,United States of America
2019,FALSE,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,No,FALSE,8,5,2,37,F,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,FALSE,10,5,2,38,F,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,TRUE,8,5,1,51,F,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,TRUE,10,8,2,39,M,United States of America
2019,FALSE,Yes,No,I don't know,I don't know,I don't know,I don't know,Yes,FALSE,7,8,3,22,M,United States of America
2019,TRUE,Yes,Yes,I don't know,Yes,Yes,Very easy,No,TRUE,7,5,3,26,M,United States of America
2019,FALSE,I don't know,No,No,No,No,Somewhat easy,No,FALSE,5,1,1,42,M,United States of America
2019,FALSE,Not eligible for coverage / NA,No,Yes,No,I don't know,I don't know,No,TRUE,5,2,1,49,M,United Kingdom
2019,TRUE,Yes,No,Yes,Yes,Yes,Very easy,Yes,FALSE,8,8,3,48,M,United Kingdom
2019,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,7,8,3,25,M,Germany
2019,TRUE,Not eligible for coverage / NA,N/A,No,No,I don't know,Very easy,Maybe,TRUE,4,8,5,31,M,Israel
2019,TRUE,Yes,No,No,Yes,Yes,Neither easy nor difficult,Maybe,FALSE,8,8,3,63,M,United States of America
2019,TRUE,No,No,No,No,I don't know,Difficult,No,FALSE,7,5,3,30,F,Turkey
2019,TRUE,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,FALSE,10,10,3,34,M,Switzerland
2019,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,TRUE,6,3,2,41,M,Netherlands
2019,FALSE,No,No,No,Yes,No,Very easy,Yes,TRUE,5,5,2,31,M,Norway
2019,FALSE,I don't know,No,No,I don't know,I don't know,Very easy,Yes,FALSE,6,4,3,29,F,Norway
2019,FALSE,Yes,No,No,Yes,I don't know,Somewhat easy,No,FALSE,6,4,3,29,M,United States of America
2019,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,6,3,1,32,M,United States of America
2019,FALSE,I don't know,No,No,No,I don't know,Very easy,Maybe,FALSE,7,6,2,28,M,Norway
2019,FALSE,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,FALSE,7,6,4,36,M,United States of America
2019,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,FALSE,8,6,2,28,NB,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,FALSE,8,8,3,36,M,United States of America
2019,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,TRUE,5,3,2,40,M,United States of America
2019,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,4,0,3,27,M,United States of America
2019,FALSE,Yes,No,No,I don't know,I don't know,Very easy,Yes,TRUE,3,2,2,28,F,Norway
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,7,7,3,34,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,9,10,4,34,M,United States of America
2019,TRUE,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,TRUE,6,1,1,27,F,United States of America
2019,TRUE,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,FALSE,5,3,3,44,F,United States of America
2019,FALSE,No,No,No,No,I don't know,Neither easy nor difficult,No,TRUE,8,5,2,36,M,Mexico
2019,FALSE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,10,10,3,31,F,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,FALSE,8,10,2,26,NB,United States of America
2019,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,Yes,TRUE,7,8,3,39,M,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,6,5,3,36,F,United States of America
2019,TRUE,Not eligible for coverage / NA,Yes,No,No,Yes,Somewhat easy,Maybe,FALSE,9,6,3,25,F,United States of America
2019,FALSE,No,No,No,No,I don't know,Very easy,No,FALSE,0,0,1,47,M,Switzerland
2019,FALSE,Yes,No,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,5,7,2,38,M,United Kingdom
2019,TRUE,I don't know,N/A,Yes,No,I don't know,Very easy,Maybe,TRUE,10,10,3,33,M,Canada
2019,TRUE,Yes,Yes,Yes,No,Yes,Very easy,Yes,FALSE,5,7,2,39,M,United States of America
2019,TRUE,Not eligible for coverage / NA,N/A,Yes,I don't know,Yes,I don't know,Maybe,FALSE,5,5,3,19,F,United States of America
2019,FALSE,Not eligible for coverage / NA,N/A,No,No,I don't know,Neither easy nor difficult,No,FALSE,5,3,2,35,M,United States of America
2019,TRUE,Yes,Yes,No,No,I don't know,Somewhat difficult,No,FALSE,0,0,3,38,M,United States of America
2019,TRUE,I don't know,Yes,I don't know,Yes,I don't know,Somewhat easy,No,FALSE,8,10,5,23,F ,Italy
2019,FALSE,Yes,Yes,No,Yes,Yes,Difficult,Yes,TRUE,8,1,3,32,M,United States of America
2019,FALSE,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,FALSE,6,6,4,33,M,United States of America
2019,TRUE,I don't know,No,No,No,Yes,Somewhat easy,Yes,TRUE,5,4,4,38,F,New Zealand
2019,TRUE,Yes,No,No,I don't know,I don't know,Very easy,Maybe,FALSE,6,6,3,42,M,United States of America
2019,TRUE,I don't know,Yes,No,No,I don't know,Difficult,No,FALSE,5,0,1,39,F,United States of America
2019,TRUE,Not eligible for coverage / NA,No,No,No,I don't know,Very easy,Yes,FALSE,8,5,3,30,M,Spain
2019,TRUE,No,No,I don't know,I don't know,I don't know,Very easy,Yes,TRUE,8,6,2,39,M,Germany
2019,TRUE,I don't know,No,No,No,I don't know,Very easy,Maybe,FALSE,10,6,2,50,M,Italy
2019,FALSE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,5,5,3,43,M,Portugal
2019,FALSE,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,FALSE,10,8,3,53,M,United States of America
2019,TRUE,Yes,No,Yes,I don't know,I don't know,Very easy,Yes,FALSE,6,7,3,35,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,FALSE,5,10,3,27,F,Canada
2019,TRUE,Yes,No,No,No,No,Somewhat easy,No,FALSE,5,5,2,24,F,Canada
2019,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,FALSE,10,10,3,29,NB,United States of America
2019,TRUE,Yes,Yes,No,No,I don't know,I don't know,Yes,FALSE,10,2,1,40,F,Ireland
2019,TRUE,Not eligible for coverage / NA,N/A,No,No,I don't know,I don't know,Maybe,FALSE,9,2,2,27,M,France
2019,TRUE,No,No,No,No,No,Difficult,No,FALSE,10,0,1,39,M,Canada
2019,TRUE,No,No,No,No,I don't know,Somewhat easy,No,FALSE,1,1,3,28,M,Hong Kong
2019,FALSE,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,10,8,3,30,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,FALSE,8,8,3,29,F,United States of America
