Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,True,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,False,10.0,10.0,3.0,34,M,Switzerland
2019,True,No,,No,No,I don't know,Somewhat easy,Maybe,True,6.0,3.0,2.0,41,M,Netherlands
2019,False,No,No,No,Yes,No,Very easy,Yes,True,5.0,5.0,2.0,31,M,Norway
2019,False,I don't know,No,No,I don't know,I don't know,Very easy,Yes,False,6.0,4.0,3.0,29,F,Norway
2019,False,Yes,No,No,Yes,I don't know,Somewhat easy,No,False,6.0,4.0,3.0,29,M,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,False,6.0,3.0,1.0,32,M,United States of America
2019,False,I don't know,No,No,No,I don't know,Very easy,Maybe,False,7.0,6.0,2.0,28,M,Norway
2019,False,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,False,7.0,6.0,4.0,36,M,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,False,8.0,6.0,2.0,28,NB,United States of America
2019,False,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,False,8.0,8.0,3.0,36,M,United States of America
2019,True,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,True,5.0,3.0,2.0,40,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Somewhat easy,Yes,False,4.0,0.0,3.0,27,M,United States of America
2019,False,Yes,No,No,I don't know,I don't know,Very easy,Yes,True,3.0,2.0,2.0,28,F,Norway
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,True,7.0,7.0,3.0,34,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,True,9.0,10.0,4.0,34,M,United States of America
2019,True,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,True,6.0,1.0,1.0,27,F,United States of America
2019,True,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,False,5.0,3.0,3.0,44,F,United States of America
2019,False,No,No,No,No,I don't know,Neither easy nor difficult,No,True,8.0,5.0,2.0,36,M,Mexico
2019,False,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,True,10.0,10.0,3.0,31,F,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,False,8.0,10.0,2.0,26,NB,United States of America
2019,True,Yes,Yes,No,I don't know,Yes,Very easy,Yes,True,7.0,8.0,3.0,39,M,United States of America
2019,False,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,True,6.0,5.0,3.0,36,F,United States of America
2019,True,Not eligible for coverage / NA,Yes,No,No,Yes,Somewhat easy,Maybe,False,9.0,6.0,3.0,25,F,United States of America
2019,False,No,No,No,No,I don't know,Very easy,No,False,0.0,0.0,1.0,47,M,Switzerland
2019,False,Yes,No,Yes,Yes,I don't know,Somewhat easy,Yes,True,5.0,7.0,2.0,38,M,United Kingdom
2019,True,I don't know,,Yes,No,I don't know,Very easy,Maybe,True,10.0,10.0,3.0,33,M,Canada
2019,True,Yes,Yes,Yes,No,Yes,Very easy,Yes,False,5.0,7.0,2.0,39,M,United States of America
2019,True,Not eligible for coverage / NA,,Yes,I don't know,Yes,I don't know,Maybe,False,5.0,5.0,3.0,19,F,United States of America
2019,False,Not eligible for coverage / NA,,No,No,I don't know,Neither easy nor difficult,No,False,5.0,3.0,2.0,35,M,United States of America
2019,True,Yes,Yes,No,No,I don't know,Somewhat difficult,No,False,0.0,0.0,3.0,38,M,United States of America
2019,True,I don't know,Yes,I don't know,Yes,I don't know,Somewhat easy,No,False,8.0,10.0,5.0,23,F ,Italy
2019,False,Yes,Yes,No,Yes,Yes,Difficult,Yes,True,8.0,1.0,3.0,32,M,United States of America
2019,False,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,False,6.0,6.0,4.0,33,M,United States of America
2019,True,I don't know,No,No,No,Yes,Somewhat easy,Yes,True,5.0,4.0,4.0,38,F,New Zealand
2019,True,Yes,No,No,I don't know,I don't know,Very easy,Maybe,False,6.0,6.0,3.0,42,M,United States of America
2019,True,I don't know,Yes,No,No,I don't know,Difficult,No,False,5.0,0.0,1.0,39,F,United States of America
2019,True,Not eligible for coverage / NA,No,No,No,I don't know,Very easy,Yes,False,8.0,5.0,3.0,30,M,Spain
2019,True,No,No,I don't know,I don't know,I don't know,Very easy,Yes,True,8.0,6.0,2.0,39,M,Germany
2019,True,I don't know,No,No,No,I don't know,Very easy,Maybe,False,10.0,6.0,2.0,50,M,Italy
2019,False,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,False,5.0,5.0,3.0,43,M,Portugal
2019,False,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,False,10.0,8.0,3.0,53,M,United States of America
2019,True,Yes,No,Yes,I don't know,I don't know,Very easy,Yes,False,6.0,7.0,3.0,35,M,United States of America
2019,True,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,False,5.0,10.0,3.0,27,F,Canada
2019,True,Yes,No,No,No,No,Somewhat easy,No,False,5.0,5.0,2.0,24,F,Canada
2019,True,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,False,10.0,10.0,3.0,29,NB,United States of America
2019,True,Yes,Yes,No,No,I don't know,I don't know,Yes,False,10.0,2.0,1.0,40,F,Ireland
2019,True,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Maybe,False,9.0,2.0,2.0,27,M,France
2019,True,No,No,No,No,No,Difficult,No,False,10.0,0.0,1.0,39,M,Canada
2019,True,No,No,No,No,I don't know,Somewhat easy,No,False,1.0,1.0,3.0,28,M,Hong Kong
2019,False,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,False,10.0,8.0,3.0,30,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,False,8.0,8.0,3.0,29,F,United States of America
2019,False,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,False,7.0,3.0,2.0,24,M,United States of America
2019,True,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Yes,True,8.0,5.0,2.0,25,F,United States of America
2019,False,I don't know,No,Yes,I don't know,I don't know,I don't know,Maybe,False,2.0,5.0,3.0,45,M,United Kingdom
2019,True,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,False,8.0,7.0,2.0,37,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Very easy,Maybe,False,7.0,6.0,3.0,22,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,True,7.0,7.0,3.0,35,F,United States of America
2019,False,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,False,10.0,2.0,2.0,50,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,True,8.0,5.0,2.0,45,M,United States of America
2019,False,Not eligible for coverage / NA,,Yes,I don't know,I don't know,I don't know,Yes,False,1.0,1.0,1.0,49,M,United Kingdom
2019,False,No,No,No,No,I don't know,Difficult,Maybe,False,8.0,2.0,2.0,40,M,United Kingdom
2019,True,Yes,No,Yes,Yes,Yes,Very easy,Yes,False,9.0,9.0,3.0,38,F,Pakistan
2019,False,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,True,6.0,5.0,2.0,37,M,United States of America
2019,True,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,Maybe,True,4.0,4.0,3.0,28,F ,United States of America
2019,True,Yes,No,No,Yes,Yes,Somewhat difficult,No,False,9.0,9.0,4.0,25,M,United States of America
2019,True,Not eligible for coverage / NA,,No,I don't know,I don't know,I don't know,Maybe,False,6.0,6.0,3.0,38,M,Brazil
2019,True,I don't know,No,Yes,No,I don't know,Somewhat easy,No,False,8.0,6.0,4.0,25,M,India
2019,True,Yes,Yes,No,No,Yes,Very easy,Yes,True,8.0,8.0,2.0,49,M,Canada
